# Time (s),Altitude (m),Vertical velocity (m/s),Drag coefficient (),Air density (g/cm³),Mach number (),Reference area (cm²)
7.19,1061.7703,228.392,0.5645,0.0011,0.684,124.6898
7.1925,1062.3412,228.3309,0.5644,0.0011,0.6839,124.6898
7.195,1062.912,228.2698,0.5643,0.0011,0.6837,124.6898
7.1975,1063.4826,228.2087,0.5642,0.0011,0.6835,124.6898
7.2,1064.053,228.1475,0.5642,0.0011,0.6833,124.6898
7.2025,1064.6233,228.0864,0.5641,0.0011,0.6832,124.6898
7.205,1065.1934,228.0253,0.564,0.0011,0.683,124.6898
7.2075,1065.7634,227.9641,0.5639,0.0011,0.6828,124.6898
7.21,1066.3332,227.903,0.5638,0.0011,0.6826,124.6898
7.2125,1066.9029,227.8419,0.5638,0.0011,0.6824,124.6898
7.215,1067.4725,227.7807,0.5637,0.0011,0.6823,124.6898
7.2175,1068.0418,227.7196,0.5636,0.0011,0.6821,124.6898
7.22,1068.6111,227.6584,0.5635,0.0011,0.6819,124.6898
7.2225,1069.1801,227.5973,0.5634,0.0011,0.6817,124.6898
7.225,1069.749,227.5361,0.5634,0.0011,0.6816,124.6898
7.2275,1070.3178,227.475,0.5633,0.0011,0.6814,124.6898
7.23,1070.8864,227.4138,0.5632,0.0011,0.6812,124.6898
7.2325,1071.4549,227.3527,0.5631,0.0011,0.681,124.6898
7.235,1072.0232,227.2915,0.563,0.0011,0.6808,124.6898
7.2375,1072.5913,227.2304,0.563,0.0011,0.6807,124.6898
7.24,1073.1593,227.1692,0.5629,0.0011,0.6805,124.6898
7.2425,1073.7272,227.1081,0.5628,0.0011,0.6803,124.6898
7.245,1074.2949,227.0469,0.5627,0.0011,0.6801,124.6898
7.2475,1074.8624,226.9858,0.5626,0.0011,0.6799,124.6898
7.25,1075.4298,226.9247,0.5626,0.0011,0.6798,124.6898
7.2525,1075.997,226.8635,0.5625,0.0011,0.6796,124.6898
7.255,1076.5641,226.8024,0.5624,0.0011,0.6794,124.6898
7.2575,1077.1311,226.7413,0.5623,0.0011,0.6792,124.6898
7.26,1077.6978,226.6802,0.5622,0.0011,0.6791,124.6898
7.2625,1078.2645,226.6191,0.5622,0.0011,0.6789,124.6898
7.265,1078.8309,226.5579,0.5621,0.0011,0.6787,124.6898
7.2675,1079.3972,226.4968,0.562,0.0011,0.6785,124.6898
7.27,1079.9634,226.4357,0.5619,0.0011,0.6783,124.6898
7.2725,1080.5294,226.3746,0.5618,0.0011,0.6781,124.6898
7.275,1081.0953,226.3135,0.5618,0.0011,0.678,124.6898
7.2775,1081.661,226.2524,0.5617,0.0011,0.6778,124.6898
7.28,1082.2265,226.1913,0.5616,0.0011,0.6776,124.6898
7.2825,1082.7919,226.1303,0.5615,0.0011,0.6774,124.6898
7.285,1083.3572,226.0692,0.5614,0.0011,0.6772,124.6898
7.2875,1083.9223,226.0081,0.5614,0.0011,0.6771,124.6898
7.29,1084.4872,225.9471,0.5613,0.0011,0.6769,124.6898
7.2925,1085.052,225.886,0.5612,0.0011,0.6767,124.6898
7.295,1085.6167,225.825,0.5611,0.0011,0.6765,124.6898
7.2975,1086.1812,225.764,0.561,0.0011,0.6763,124.6898
7.3,1086.7455,225.7029,0.561,0.0011,0.6762,124.6898
7.3025,1087.3097,225.6419,0.5609,0.0011,0.676,124.6898
7.305,1087.8737,225.5809,0.5608,0.0011,0.6758,124.6898
7.3075,1088.4376,225.5199,0.5607,0.0011,0.6756,124.6898
7.31,1089.0013,225.4589,0.5607,0.0011,0.6755,124.6898
7.3125,1089.5649,225.398,0.5606,0.0011,0.6753,124.6898
7.315,1090.1283,225.337,0.5605,0.0011,0.6751,124.6898
7.3175,1090.6915,225.2761,0.5604,0.0011,0.6749,124.6898
7.32,1091.2547,225.2152,0.5603,0.0011,0.6748,124.6898
7.3225,1091.8176,225.1543,0.5603,0.0011,0.6746,124.6898
7.325,1092.3804,225.0934,0.5602,0.0011,0.6744,124.6898
7.3275,1092.9431,225.0325,0.5601,0.0011,0.6742,124.6898
7.33,1093.5056,224.9716,0.56,0.0011,0.674,124.6898
7.3325,1094.068,224.9108,0.56,0.0011,0.6739,124.6898
7.335,1094.6302,224.8499,0.5599,0.0011,0.6737,124.6898
7.3375,1095.1922,224.7891,0.5598,0.0011,0.6735,124.6898
7.34,1095.7541,224.7283,0.5597,0.0011,0.6733,124.6898
7.3425,1096.3158,224.6675,0.5596,0.0011,0.6732,124.6898
7.345,1096.8774,224.6067,0.5596,0.0011,0.673,124.6898
7.3475,1097.4389,224.5459,0.5595,0.0011,0.6728,124.6898
7.35,1098.0002,224.4851,0.5594,0.0011,0.6726,124.6898
7.3525,1098.5613,224.4244,0.5593,0.0011,0.6725,124.6898
7.355,1099.1223,224.3636,0.5593,0.0011,0.6723,124.6898
7.3575,1099.6831,224.3028,0.5592,0.0011,0.6721,124.6898
7.36,1100.2438,224.2421,0.5591,0.0011,0.6719,124.6898
7.3625,1100.8043,224.1814,0.559,0.0011,0.6717,124.6898
7.365,1101.3647,224.1206,0.559,0.0011,0.6716,124.6898
7.3675,1101.9249,224.0599,0.5589,0.0011,0.6714,124.6898
7.37,1102.485,223.9992,0.5588,0.0011,0.6712,124.6898
7.3725,1103.0449,223.9384,0.5587,0.0011,0.671,124.6898
7.375,1103.6047,223.8777,0.5586,0.0011,0.6709,124.6898
7.3775,1104.1643,223.817,0.5586,0.0011,0.6707,124.6898
7.38,1104.7238,223.7563,0.5585,0.0011,0.6705,124.6898
7.3825,1105.2831,223.6956,0.5584,0.0011,0.6703,124.6898
7.385,1105.8423,223.6349,0.5583,0.0011,0.6702,124.6898
7.3875,1106.4013,223.5742,0.5583,0.0011,0.67,124.6898
7.39,1106.9601,223.5135,0.5582,0.0011,0.6698,124.6898
7.3925,1107.5188,223.4528,0.5581,0.0011,0.6696,124.6898
7.395,1108.0774,223.3921,0.558,0.0011,0.6694,124.6898
7.3975,1108.6358,223.3314,0.558,0.0011,0.6693,124.6898
7.4,1109.1941,223.2707,0.5579,0.0011,0.6691,124.6898
7.4025,1109.7522,223.21,0.5578,0.0011,0.6689,124.6898
7.405,1110.3101,223.1493,0.5577,0.0011,0.6687,124.6898
7.4075,1110.8679,223.0886,0.5577,0.0011,0.6686,124.6898
7.41,1111.4255,223.0279,0.5576,0.0011,0.6684,124.6898
7.4125,1111.983,222.9672,0.5575,0.0011,0.6682,124.6898
7.415,1112.5404,222.9065,0.5574,0.0011,0.668,124.6898
7.4175,1113.0976,222.8458,0.5574,0.0011,0.6679,124.6898
7.42,1113.6546,222.7851,0.5573,0.0011,0.6677,124.6898
7.4225,1114.2115,222.7244,0.5572,0.0011,0.6675,124.6898
7.425,1114.7682,222.6637,0.5571,0.0011,0.6673,124.6898
7.4275,1115.3248,222.603,0.5571,0.0011,0.6672,124.6898
7.43,1115.8812,222.5423,0.557,0.0011,0.667,124.6898
7.4325,1116.4375,222.4817,0.5569,0.0011,0.6668,124.6898
7.435,1116.9937,222.421,0.5568,0.0011,0.6666,124.6898
7.4375,1117.5496,222.3603,0.5568,0.0011,0.6665,124.6898
7.44,1118.1055,222.2996,0.5567,0.0011,0.6663,124.6898
7.4425,1118.6611,222.2389,0.5566,0.0011,0.6661,124.6898
7.445,1119.2167,222.1782,0.5565,0.0011,0.6659,124.6898
7.4475,1119.772,222.1175,0.5565,0.0011,0.6658,124.6898
7.45,1120.3272,222.0568,0.5564,0.0011,0.6656,124.6898
7.4525,1120.8823,221.9961,0.5563,0.0011,0.6654,124.6898
7.455,1121.4372,221.9354,0.5562,0.0011,0.6652,124.6898
7.4575,1121.992,221.8747,0.5562,0.0011,0.6651,124.6898
7.46,1122.5466,221.8139,0.5561,0.0011,0.6649,124.6898
7.4625,1123.1011,221.7532,0.556,0.0011,0.6647,124.6898
7.465,1123.6554,221.6925,0.5559,0.0011,0.6645,124.6898
7.4675,1124.2095,221.6317,0.5559,0.0011,0.6643,124.6898
7.47,1124.7635,221.5709,0.5558,0.0011,0.6642,124.6898
7.4725,1125.3174,221.5102,0.5557,0.0011,0.664,124.6898
7.475,1125.8711,221.4494,0.5556,0.0011,0.6638,124.6898
7.4775,1126.4246,221.3886,0.5555,0.0011,0.6636,124.6898
7.48,1126.978,221.3279,0.5555,0.0011,0.6635,124.6898
7.4825,1127.5313,221.2671,0.5554,0.0011,0.6633,124.6898
7.485,1128.0843,221.2063,0.5553,0.0011,0.6631,124.6898
7.4875,1128.6373,221.1455,0.5552,0.0011,0.6629,124.6898
7.49,1129.1901,221.0847,0.5552,0.0011,0.6627,124.6898
7.4925,1129.7427,221.0239,0.5551,0.0011,0.6626,124.6898
7.495,1130.2952,220.9631,0.555,0.0011,0.6624,124.6898
7.4975,1130.8475,220.9023,0.5549,0.0011,0.6622,124.6898
7.5,1131.3997,220.8415,0.5549,0.0011,0.662,124.6898
7.5025,1131.9517,220.7807,0.5548,0.0011,0.6619,124.6898
7.505,1132.5036,220.7199,0.5547,0.0011,0.6617,124.6898
7.5075,1133.0553,220.6591,0.5546,0.0011,0.6615,124.6898
7.51,1133.6069,220.5983,0.5546,0.0011,0.6613,124.6898
7.5125,1134.1583,220.5375,0.5545,0.0011,0.6612,124.6898
7.515,1134.7096,220.4768,0.5544,0.0011,0.661,124.6898
7.5175,1135.2607,220.416,0.5544,0.0011,0.6608,124.6898
7.52,1135.8117,220.3552,0.5543,0.0011,0.6606,124.6898
7.5225,1136.3625,220.2945,0.5542,0.0011,0.6605,124.6898
7.525,1136.9131,220.2337,0.5541,0.0011,0.6603,124.6898
7.5275,1137.4637,220.173,0.5541,0.0011,0.6601,124.6898
7.53,1138.014,220.1123,0.554,0.0011,0.6599,124.6898
7.5325,1138.5642,220.0516,0.5539,0.0011,0.6598,124.6898
7.535,1139.1143,219.9909,0.5538,0.0011,0.6596,124.6898
7.5375,1139.6642,219.9302,0.5538,0.0011,0.6594,124.6898
7.54,1140.2139,219.8695,0.5537,0.0011,0.6592,124.6898
7.5425,1140.7635,219.8089,0.5536,0.0011,0.6591,124.6898
7.545,1141.313,219.7482,0.5535,0.0011,0.6589,124.6898
7.5475,1141.8623,219.6876,0.5535,0.0011,0.6587,124.6898
7.55,1142.4114,219.627,0.5534,0.0011,0.6585,124.6898
7.5525,1142.9604,219.5664,0.5533,0.0011,0.6584,124.6898
7.555,1143.5092,219.5058,0.5533,0.0011,0.6582,124.6898
7.5575,1144.0579,219.4452,0.5532,0.0011,0.658,124.6898
7.56,1144.6065,219.3846,0.5531,0.0011,0.6578,124.6898
7.5625,1145.1548,219.324,0.553,0.0011,0.6576,124.6898
7.565,1145.7031,219.2635,0.553,0.0011,0.6575,124.6898
7.5675,1146.2512,219.2029,0.5529,0.0011,0.6573,124.6898
7.57,1146.7991,219.1424,0.5528,0.0011,0.6571,124.6898
7.5725,1147.3469,219.0819,0.5527,0.0011,0.6569,124.6898
7.575,1147.8945,219.0214,0.5527,0.0011,0.6568,124.6898
7.5775,1148.442,218.9609,0.5526,0.0011,0.6566,124.6898
7.58,1148.9893,218.9004,0.5525,0.0011,0.6564,124.6898
7.5825,1149.5365,218.84,0.5524,0.0011,0.6562,124.6898
7.585,1150.0835,218.7795,0.5524,0.0011,0.656,124.6898
7.5875,1150.6304,218.7191,0.5523,0.0011,0.6559,124.6898
7.59,1151.1771,218.6587,0.5522,0.0011,0.6557,124.6898
7.5925,1151.7237,218.5982,0.5522,0.0011,0.6555,124.6898
7.595,1152.2701,218.5378,0.5521,0.0011,0.6553,124.6898
7.5975,1152.8164,218.4775,0.552,0.0011,0.6552,124.6898
7.6,1153.3625,218.4171,0.5519,0.0011,0.655,124.6898
7.6025,1153.9084,218.3567,0.5519,0.0011,0.6548,124.6898
7.605,1154.4543,218.2964,0.5518,0.0011,0.6546,124.6898
7.6075,1154.9999,218.236,0.5517,0.0011,0.6545,124.6898
7.61,1155.5454,218.1757,0.5516,0.0011,0.6543,124.6898
7.6125,1156.0908,218.1154,0.5516,0.0011,0.6541,124.6898
7.615,1156.636,218.0551,0.5515,0.0011,0.6539,124.6898
7.6175,1157.1811,217.9948,0.5514,0.0011,0.6537,124.6898
7.62,1157.726,217.9345,0.5514,0.0011,0.6536,124.6898
7.6225,1158.2708,217.8742,0.5513,0.0011,0.6534,124.6898
7.625,1158.8154,217.814,0.5512,0.0011,0.6532,124.6898
7.6275,1159.3598,217.7537,0.5511,0.0011,0.653,124.6898
7.63,1159.9041,217.6935,0.5511,0.0011,0.6529,124.6898
7.6325,1160.4483,217.6332,0.551,0.0011,0.6527,124.6898
7.635,1160.9923,217.573,0.5509,0.0011,0.6525,124.6898
7.6375,1161.5362,217.5128,0.5508,0.0011,0.6523,124.6898
7.64,1162.0799,217.4526,0.5508,0.0011,0.6522,124.6898
7.6425,1162.6234,217.3924,0.5507,0.0011,0.652,124.6898
7.645,1163.1668,217.3322,0.5506,0.0011,0.6518,124.6898
7.6475,1163.7101,217.272,0.5506,0.0011,0.6516,124.6898
7.65,1164.2532,217.2118,0.5505,0.0011,0.6514,124.6898
7.6525,1164.7961,217.1516,0.5504,0.0011,0.6513,124.6898
7.655,1165.3389,217.0915,0.5503,0.0011,0.6511,124.6898
7.6575,1165.8816,217.0313,0.5503,0.0011,0.6509,124.6898
7.66,1166.4241,216.9711,0.5502,0.0011,0.6508,124.6898
7.6625,1166.9665,216.911,0.5501,0.0011,0.6506,124.6898
7.665,1167.5087,216.8509,0.5501,0.0011,0.6504,124.6898
7.6675,1168.0507,216.7908,0.55,0.0011,0.6502,124.6898
7.67,1168.5926,216.7306,0.5499,0.0011,0.6501,124.6898
7.6725,1169.1344,216.6705,0.5498,0.0011,0.6499,124.6898
7.675,1169.676,216.6104,0.5498,0.0011,0.6497,124.6898
7.6775,1170.2174,216.5503,0.5497,0.0011,0.6495,124.6898
7.68,1170.7587,216.4902,0.5496,0.0011,0.6494,124.6898
7.6825,1171.2999,216.4302,0.5496,0.0011,0.6492,124.6898
7.685,1171.8409,216.3701,0.5495,0.0011,0.649,124.6898
7.6875,1172.3817,216.31,0.5494,0.0011,0.6488,124.6898
7.69,1172.9224,216.2499,0.5494,0.0011,0.6487,124.6898
7.6925,1173.463,216.1899,0.5493,0.0011,0.6485,124.6898
7.695,1174.0034,216.1298,0.5492,0.0011,0.6483,124.6898
7.6975,1174.5436,216.0697,0.5492,0.0011,0.6481,124.6898
7.7,1175.0837,216.0097,0.5491,0.0011,0.648,124.6898
7.7025,1175.6237,215.9496,0.549,0.0011,0.6478,124.6898
7.705,1176.1635,215.8896,0.549,0.0011,0.6476,124.6898
7.7075,1176.7031,215.8295,0.5489,0.0011,0.6474,124.6898
7.71,1177.2426,215.7694,0.5488,0.0011,0.6473,124.6898
7.7125,1177.782,215.7094,0.5488,0.0011,0.6471,124.6898
7.715,1178.3212,215.6493,0.5487,0.0011,0.6469,124.6898
7.7175,1178.8602,215.5893,0.5486,0.0011,0.6467,124.6898
7.72,1179.3991,215.5292,0.5485,0.0011,0.6466,124.6898
7.7225,1179.9379,215.4691,0.5485,0.0011,0.6464,124.6898
7.725,1180.4764,215.4091,0.5484,0.0011,0.6462,124.6898
7.7275,1181.0149,215.349,0.5483,0.0011,0.646,124.6898
7.73,1181.5532,215.2889,0.5483,0.0011,0.6459,124.6898
7.7325,1182.0913,215.2289,0.5482,0.0011,0.6457,124.6898
7.735,1182.6293,215.1688,0.5481,0.0011,0.6455,124.6898
7.7375,1183.1672,215.1087,0.5481,0.0011,0.6453,124.6898
7.74,1183.7049,215.0486,0.548,0.0011,0.6452,124.6898
7.7425,1184.2424,214.9886,0.5479,0.0011,0.645,124.6898
7.745,1184.7798,214.9285,0.5479,0.0011,0.6448,124.6898
7.7475,1185.3171,214.8684,0.5478,0.0011,0.6446,124.6898
7.75,1185.8542,214.8083,0.5477,0.0011,0.6445,124.6898
7.7525,1186.3911,214.7482,0.5477,0.0011,0.6443,124.6898
7.755,1186.9279,214.6882,0.5476,0.0011,0.6441,124.6898
7.7575,1187.4646,214.6281,0.5475,0.0011,0.6439,124.6898
7.76,1188.001,214.568,0.5475,0.0011,0.6438,124.6898
7.7625,1188.5374,214.508,0.5474,0.0011,0.6436,124.6898
7.765,1189.0736,214.4479,0.5473,0.0011,0.6434,124.6898
7.7675,1189.6096,214.3879,0.5473,0.0011,0.6433,124.6898
7.77,1190.1455,214.3278,0.5472,0.0011,0.6431,124.6898
7.7725,1190.6813,214.2678,0.5471,0.0011,0.6429,124.6898
7.775,1191.2169,214.2077,0.5471,0.0011,0.6427,124.6898
7.7775,1191.7523,214.1477,0.547,0.0011,0.6426,124.6898
7.78,1192.2876,214.0877,0.5469,0.0011,0.6424,124.6898
7.7825,1192.8227,214.0277,0.5469,0.0011,0.6422,124.6898
7.785,1193.3577,213.9677,0.5468,0.0011,0.6421,124.6898
7.7875,1193.8926,213.9076,0.5467,0.0011,0.6419,124.6898
7.79,1194.4273,213.8476,0.5467,0.0011,0.6417,124.6898
7.7925,1194.9618,213.7877,0.5466,0.0011,0.6415,124.6898
7.795,1195.4962,213.7277,0.5465,0.0011,0.6414,124.6898
7.7975,1196.0305,213.6677,0.5465,0.0011,0.6412,124.6898
7.8,1196.5646,213.6077,0.5464,0.0011,0.641,124.6898
7.8025,1197.0985,213.5477,0.5464,0.0011,0.6409,124.6898
7.805,1197.6323,213.4878,0.5463,0.0011,0.6407,124.6898
7.8075,1198.1659,213.4278,0.5462,0.0011,0.6405,124.6898
7.81,1198.6994,213.3679,0.5462,0.0011,0.6403,124.6898
7.8125,1199.2328,213.3079,0.5461,0.0011,0.6402,124.6898
7.815,1199.766,213.2479,0.546,0.0011,0.64,124.6898
7.8175,1200.299,213.188,0.546,0.0011,0.6398,124.6898
7.82,1200.8319,213.128,0.5459,0.0011,0.6396,124.6898
7.8225,1201.3647,213.0681,0.5458,0.0011,0.6395,124.6898
7.825,1201.8973,213.0082,0.5458,0.0011,0.6393,124.6898
7.8275,1202.4297,212.9482,0.5457,0.0011,0.6391,124.6898
7.83,1202.962,212.8883,0.5456,0.0011,0.6389,124.6898
7.8325,1203.4941,212.8284,0.5456,0.0011,0.6388,124.6898
7.835,1204.0261,212.7684,0.5455,0.0011,0.6386,124.6898
7.8375,1204.558,212.7085,0.5454,0.0011,0.6384,124.6898
7.84,1205.0897,212.6486,0.5454,0.0011,0.6383,124.6898
7.8425,1205.6212,212.5887,0.5453,0.0011,0.6381,124.6898
7.845,1206.1526,212.5288,0.5452,0.0011,0.6379,124.6898
7.8475,1206.6839,212.4689,0.5452,0.0011,0.6377,124.6898
7.85,1207.215,212.409,0.5451,0.0011,0.6376,124.6898
7.8525,1207.7459,212.3491,0.545,0.0011,0.6374,124.6898
7.855,1208.2767,212.2892,0.545,0.0011,0.6372,124.6898
7.8575,1208.8074,212.2294,0.5449,0.0011,0.637,124.6898
7.86,1209.3379,212.1695,0.5448,0.0011,0.6369,124.6898
7.8625,1209.8682,212.1097,0.5448,0.0011,0.6367,124.6898
7.865,1210.3984,212.0498,0.5447,0.0011,0.6365,124.6898
7.8675,1210.9285,211.99,0.5446,0.0011,0.6363,124.6898
7.87,1211.4584,211.9301,0.5446,0.0011,0.6362,124.6898
7.8725,1211.9881,211.8703,0.5445,0.0011,0.636,124.6898
7.875,1212.5177,211.8105,0.5444,0.0011,0.6358,124.6898
7.8775,1213.0472,211.7507,0.5444,0.0011,0.6357,124.6898
7.88,1213.5765,211.6909,0.5443,0.0011,0.6355,124.6898
7.8825,1214.1056,211.6311,0.5442,0.0011,0.6353,124.6898
7.885,1214.6346,211.5714,0.5442,0.0011,0.6351,124.6898
7.8875,1215.1635,211.5116,0.5441,0.0011,0.635,124.6898
7.89,1215.6922,211.4518,0.5441,0.0011,0.6348,124.6898
7.8925,1216.2207,211.3921,0.544,0.0011,0.6346,124.6898
7.895,1216.7491,211.3324,0.5439,0.0011,0.6345,124.6898
7.8975,1217.2774,211.2726,0.5439,0.0011,0.6343,124.6898
7.9,1217.8055,211.2129,0.5438,0.0011,0.6341,124.6898
7.9025,1218.3335,211.1532,0.5437,0.0011,0.6339,124.6898
7.905,1218.8613,211.0935,0.5437,0.0011,0.6338,124.6898
7.9075,1219.3889,211.0338,0.5436,0.0011,0.6336,124.6898
7.91,1219.9164,210.9741,0.5435,0.0011,0.6334,124.6898
7.9125,1220.4438,210.9145,0.5435,0.0011,0.6332,124.6898
7.915,1220.971,210.8548,0.5434,0.0011,0.6331,124.6898
7.9175,1221.4981,210.7952,0.5433,0.0011,0.6329,124.6898
7.92,1222.025,210.7355,0.5433,0.0011,0.6327,124.6898
7.9225,1222.5518,210.6759,0.5432,0.0011,0.6325,124.6898
7.925,1223.0784,210.6162,0.5431,0.0011,0.6324,124.6898
7.9275,1223.6048,210.5566,0.5431,0.0011,0.6322,124.6898
7.93,1224.1311,210.497,0.543,0.0011,0.632,124.6898
7.9325,1224.6573,210.4374,0.543,0.0011,0.6319,124.6898
7.935,1225.1833,210.3778,0.5429,0.0011,0.6317,124.6898
7.9375,1225.7092,210.3182,0.5428,0.0011,0.6315,124.6898
7.94,1226.2349,210.2586,0.5428,0.0011,0.6313,124.6898
7.9425,1226.7605,210.1991,0.5427,0.0011,0.6312,124.6898
7.945,1227.2859,210.1395,0.5426,0.0011,0.631,124.6898
7.9475,1227.8112,210.08,0.5426,0.0011,0.6308,124.6898
7.95,1228.3363,210.0204,0.5425,0.0011,0.6306,124.6898
7.9525,1228.8613,209.9609,0.5424,0.0011,0.6305,124.6898
7.955,1229.3861,209.9013,0.5424,0.0011,0.6303,124.6898
7.9575,1229.9108,209.8418,0.5423,0.0011,0.6301,124.6898
7.96,1230.4353,209.7823,0.5422,0.0011,0.6299,124.6898
7.9625,1230.9597,209.7228,0.5422,0.0011,0.6298,124.6898
7.965,1231.4839,209.6633,0.5421,0.0011,0.6296,124.6898
7.9675,1232.008,209.6038,0.5421,0.0011,0.6294,124.6898
7.97,1232.532,209.5443,0.542,0.0011,0.6292,124.6898
7.9725,1233.0558,209.4848,0.5419,0.0011,0.6291,124.6898
7.975,1233.5794,209.4253,0.5419,0.0011,0.6289,124.6898
7.9775,1234.1029,209.3658,0.5418,0.0011,0.6287,124.6898
7.98,1234.6262,209.3063,0.5417,0.0011,0.6286,124.6898
7.9825,1235.1494,209.2469,0.5417,0.0011,0.6284,124.6898
7.985,1235.6725,209.1874,0.5416,0.0011,0.6282,124.6898
7.9875,1236.1953,209.1279,0.5415,0.0011,0.628,124.6898
7.99,1236.7181,209.0685,0.5415,0.0011,0.6279,124.6898
7.9925,1237.2407,209.009,0.5414,0.0011,0.6277,124.6898
7.995,1237.7631,208.9496,0.5413,0.0011,0.6275,124.6898
7.9975,1238.2854,208.8902,0.5413,0.0011,0.6273,124.6898
8,1238.8076,208.8307,0.5412,0.0011,0.6272,124.6898
8.0025,1239.3296,208.7713,0.5412,0.0011,0.627,124.6898
8.005,1239.8514,208.7119,0.5411,0.0011,0.6268,124.6898
8.0075,1240.3732,208.6525,0.541,0.0011,0.6266,124.6898
8.01,1240.8947,208.5931,0.541,0.0011,0.6265,124.6898
8.0125,1241.4161,208.5336,0.5409,0.0011,0.6263,124.6898
8.015,1241.9374,208.4742,0.5408,0.0011,0.6261,124.6898
8.0175,1242.4585,208.4148,0.5408,0.0011,0.6259,124.6898
8.02,1242.9795,208.3554,0.5407,0.0011,0.6258,124.6898
8.0225,1243.5003,208.296,0.5406,0.0011,0.6256,124.6898
8.025,1244.0209,208.2366,0.5406,0.0011,0.6254,124.6898
8.0275,1244.5414,208.1772,0.5405,0.0011,0.6252,124.6898
8.03,1245.0618,208.1179,0.5405,0.0011,0.6251,124.6898
8.0325,1245.582,208.0585,0.5404,0.0011,0.6249,124.6898
8.035,1246.1021,207.9991,0.5403,0.0011,0.6247,124.6898
8.0375,1246.622,207.9397,0.5403,0.0011,0.6245,124.6898
8.04,1247.1418,207.8803,0.5402,0.0011,0.6244,124.6898
8.0425,1247.6614,207.821,0.5401,0.0011,0.6242,124.6898
8.045,1248.1809,207.7616,0.5401,0.0011,0.624,124.6898
8.0475,1248.7002,207.7023,0.54,0.0011,0.6238,124.6898
8.05,1249.2194,207.6429,0.5399,0.0011,0.6237,124.6898
8.0525,1249.7385,207.5835,0.5399,0.0011,0.6235,124.6898
8.055,1250.2573,207.5242,0.5398,0.0011,0.6233,124.6898
8.0575,1250.7761,207.4649,0.5398,0.0011,0.6232,124.6898
8.06,1251.2947,207.4055,0.5397,0.0011,0.623,124.6898
8.0625,1251.8131,207.3462,0.5396,0.0011,0.6228,124.6898
8.065,1252.3314,207.2869,0.5396,0.0011,0.6226,124.6898
8.0675,1252.8495,207.2275,0.5395,0.0011,0.6225,124.6898
8.07,1253.3675,207.1682,0.5394,0.0011,0.6223,124.6898
8.0725,1253.8854,207.1089,0.5394,0.0011,0.6221,124.6898
8.075,1254.4031,207.0496,0.5393,0.0011,0.6219,124.6898
8.0775,1254.9206,206.9903,0.5393,0.0011,0.6218,124.6898
8.08,1255.438,206.931,0.5392,0.0011,0.6216,124.6898
8.0825,1255.9553,206.8718,0.5391,0.0011,0.6214,124.6898
8.085,1256.4724,206.8125,0.5391,0.0011,0.6212,124.6898
8.0875,1256.9893,206.7532,0.539,0.0011,0.6211,124.6898
8.09,1257.5062,206.694,0.5389,0.0011,0.6209,124.6898
8.0925,1258.0228,206.6347,0.5389,0.0011,0.6207,124.6898
8.095,1258.5393,206.5755,0.5388,0.0011,0.6205,124.6898
8.0975,1259.0557,206.5162,0.5388,0.0011,0.6204,124.6898
8.1,1259.5719,206.457,0.5387,0.0011,0.6202,124.6898
8.1025,1260.088,206.3978,0.5386,0.0011,0.62,124.6898
8.105,1260.6039,206.3385,0.5386,0.0011,0.6199,124.6898
8.1075,1261.1197,206.2793,0.5385,0.0011,0.6197,124.6898
8.11,1261.6353,206.2201,0.5384,0.0011,0.6195,124.6898
8.1125,1262.1508,206.1609,0.5384,0.0011,0.6193,124.6898
8.115,1262.6661,206.1018,0.5383,0.0011,0.6192,124.6898
8.1175,1263.1813,206.0426,0.5383,0.0011,0.619,124.6898
8.12,1263.6963,205.9834,0.5382,0.0011,0.6188,124.6898
8.1225,1264.2112,205.9243,0.5381,0.0011,0.6186,124.6898
8.125,1264.7259,205.8651,0.5381,0.0011,0.6185,124.6898
8.1275,1265.2405,205.806,0.538,0.0011,0.6183,124.6898
8.13,1265.755,205.7468,0.5379,0.0011,0.6181,124.6898
8.1325,1266.2693,205.6877,0.5379,0.0011,0.6179,124.6898
8.135,1266.7834,205.6286,0.5378,0.0011,0.6178,124.6898
8.1375,1267.2974,205.5695,0.5378,0.0011,0.6176,124.6898
8.14,1267.8113,205.5104,0.5377,0.0011,0.6174,124.6898
8.1425,1268.325,205.4513,0.5376,0.0011,0.6173,124.6898
8.145,1268.8385,205.3922,0.5376,0.0011,0.6171,124.6898
8.1475,1269.3519,205.3332,0.5375,0.0011,0.6169,124.6898
8.15,1269.8652,205.2741,0.5375,0.0011,0.6167,124.6898
8.1525,1270.3783,205.215,0.5374,0.0011,0.6166,124.6898
8.155,1270.8913,205.156,0.5373,0.0011,0.6164,124.6898
8.1575,1271.4041,205.0969,0.5373,0.0011,0.6162,124.6898
8.16,1271.9167,205.0379,0.5372,0.0011,0.616,124.6898
8.1625,1272.4293,204.9789,0.5371,0.0011,0.6159,124.6898
8.165,1272.9416,204.9199,0.5371,0.0011,0.6157,124.6898
8.1675,1273.4539,204.8609,0.537,0.0011,0.6155,124.6898
8.17,1273.9659,204.8019,0.537,0.0011,0.6153,124.6898
8.1725,1274.4779,204.7429,0.5369,0.0011,0.6152,124.6898
8.175,1274.9896,204.6839,0.5368,0.0011,0.615,124.6898
8.1775,1275.5013,204.6249,0.5368,0.0011,0.6148,124.6898
8.18,1276.0128,204.5659,0.5367,0.0011,0.6147,124.6898
