dt,acc_x,acc_y,acc_z,vel_N,vel_E,vel_D,pos_N,pos_E,pos_D,rot_x,rot_y,rot_z,lat,lon,alt,pressure,state,battery,ign1_cont,ign2_cont,ign3_cont,ign4_cont,ign1_state,ign2_state,ign3_state,ign4_state,gps_fix,gps_sats,height,h,State2,gps_h,Sats 2,rotx,,rotz
20085,"0,04464529","0,05804487","-0,05343898",0,0,"-0,2479031","1,57592","1,898544","2,732775","50,52549","268,1615","355,8018","50,33809367","19,5310195","338,7999878",98598,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,5158562","0,2553015952",0,"-0,1000061035",1000,"0,11259",,
20079,"0,01269145","0,005782411","-0,1291283",0,0,"-0,2472076","1,57592","1,898544","2,735209","50,55369","268,1423","355,7936","50,33809367","19,5310195","338,7999878",98598,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,5158562","0,2553015952",0,"-0,1000061035",1000,"0,14079",,
20362,"-0,009337336","-0,007228181","-0,1251553",0,0,"-0,2461196","1,59446","1,898544","2,737721","50,53414","268,1168","355,7448","50,3380935","19,5310195","338,8999939",98597,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,6009581","0,3404035247",0,0,1000,"0,12124",,
20398,"0,02202325","0,03889865","-0,08336718",0,0,"-0,2449578","1,59446","1,898544","2,740435","50,53159","268,0763","355,7171","50,3380935","19,5310195","338,8999939",98599,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,430755","0,1702003646",0,0,1000,"0,11869",,
20118,"0,01983057","-0,009267718","-0,104246",0,0,"-0,2443805","1,57592","1,851081","2,742097","50,53661","268,0633","355,6804","50,33809367","19,53102017","338,8999939",98597,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,6009581","0,3404035247",0,0,1000,"0,12371",,
20476,"0,06605159","-0,08058199","-0,1382979",0,0,"-0,2434786","1,613001","1,851081","2,744051","50,57747","268,0942","355,7791","50,33809333","19,53102017","338,8999939",98598,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,5158562","0,2553015952",0,0,1000,"0,16457",,
20239,"0,02891801","-0,02119301","-0,1417702",0,0,"-0,2426698","1,613001","1,851081","2,745847","50,59695","268,0522","355,7354","50,33809333","19,53102017","338,8999939",98599,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,430755","0,1702003646",0,0,1000,"0,18405",,
20132,"-0,002017602","0,01431927","-0,08137877",0,0,"-0,2420381","1,668621","1,839215","2,747507","50,60072","268,0082","355,7308","50,33809283","19,53102033",339,98598,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,5158562","0,2553015952",0,"0,1000061035",1000,"0,18782",,
20276,"0,09200473","-0,01684372","-0,09231837",0,0,"-0,2411451","1,668621","1,839215","2,75047","50,59814","268,0427","355,7698","50,33809283","19,53102033",339,98599,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,430755","0,1702003646",0,"0,1000061035",1000,"0,18524",,
20636,"-0,0190369","-0,04030935","-0,06814845",0,0,"-0,2406819","1,705702","1,827349","2,751154","50,60681","268,0693","355,7281","50,3380925","19,5310205",339,98599,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,430755","0,1702003646",0,"0,1000061035",1000,"0,19391",,
20356,"0,02591319","-0,03781782","-0,09758075",0,0,"-0,2401136","1,705702","1,827349","2,753213","50,58949","268,0482","355,698","50,3380925","19,5310205",339,98599,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,430755","0,1702003646",0,"0,1000061035",1000,"0,17659",,
20109,"-0,03969142","0,04746237","-0,07396968",0,0,"-0,2390466","1,724242","1,791751","2,756016","50,60406","267,9603","355,5911","50,33809233","19,531021",339,98599,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,430755","0,1702003646",0,"0,1000061035",1000,"0,19116",,
20364,"-0,02537465","0,02081281","-0,07108577",0,0,"-0,2393302","1,724242","1,791751","2,755555","50,62046","268,0337","355,6965","50,33809233","19,531021",339,98601,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,2605546",0,0,"0,1000061035",1000,"0,20756",,
20440,"0,03509297","0,05262419","-0,07261927",0,0,"-0,2391481","1,761322","1,756153","2,756155","50,6004","268,0501","355,6648","50,338092","19,5310215","339,1000061",98598,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,5158562","0,2553015952",0,"0,200012207",1000,"0,1875",,
20015,"-0,01414651","-0,007213116","-0,1146696",0,0,"-0,2385505","1,761322","1,756153","2,758201","50,59584","268,1112","355,7627","50,338092","19,5310215","339,1000061",98599,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,430755","0,1702003646",0,"0,200012207",1000,"0,18294",,
20271,"0,02568842","0,0290325","-0,08422549",0,0,"-0,237741","1,742782","1,732422","2,76041","50,60315","268,1056","355,686","50,33809217","19,53102183","339,1000061",98597,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,6009581","0,3404035247",0,"0,200012207",1000,"0,19025",,
20013,"-0,0101195","-0,02521925","-0,03427776",0,0,"-0,2352065","1,742782","1,732422","2,766508","50,63063","268,1474","355,7398","50,33809217","19,53102183","339,1000061",98593,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,9413728","0,680818232",0,"0,200012207",1000,"0,21773",,
