# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Simulation time step (s)
3.6825,308.8983,164.4384,38.3102,0.0025
3.685,309.3095,164.5341,38.2995,0.0025
3.6875,309.721,164.6299,38.2888,0.0025
3.69,310.1327,164.7256,38.2781,0.0025
3.6925,310.5446,164.8213,38.2673,0.0025
3.695,310.9568,164.9169,38.2565,0.0025
3.6975,311.3692,165.0126,38.2457,0.0025
3.7,311.7818,165.1082,38.2347,0.0025
3.7025,312.1947,165.2037,38.2244,0.0025
3.705,312.6078,165.2993,38.214,0.0025
3.7075,313.0212,165.3948,38.2035,0.0025
3.71,313.4348,165.4903,38.193,0.0025
3.7125,313.8487,165.5858,38.1823,0.0025
3.715,314.2628,165.6812,38.1716,0.0025
3.7175,314.6771,165.7766,38.1607,0.0025
3.72,315.0916,165.872,38.1497,0.0025
3.7225,315.5064,165.9674,38.1386,0.0025
3.725,315.9215,166.0627,38.1274,0.0025
3.7275,316.3367,166.158,38.1161,0.0025
3.73,316.7523,166.2533,38.1046,0.0025
3.7325,317.168,166.3485,38.093,0.0025
3.735,317.584,166.4437,38.0813,0.0025
3.7375,318.0002,166.5389,38.0694,0.0025
3.74,318.4167,166.6341,38.0574,0.0025
3.7425,318.8334,166.7292,38.0452,0.0025
3.745,319.2503,166.8243,38.0329,0.0025
3.7475,319.6675,166.9194,38.0205,0.0025
3.75,320.0849,167.0144,38.0079,0.0025
3.7525,320.5026,167.1094,37.9945,0.0025
3.755,320.9205,167.2044,37.9809,0.0025
3.7575,321.3386,167.2993,37.9673,0.0025
3.76,321.757,167.3942,37.9534,0.0025
3.7625,322.1756,167.4891,37.9394,0.0025
3.765,322.5944,167.5839,37.9253,0.0025
3.7675,323.0135,167.6787,37.911,0.0025
3.77,323.4328,167.7735,37.8965,0.0025
3.7725,323.8524,167.8682,37.8819,0.0025
3.775,324.2722,167.9629,37.8671,0.0025
3.7775,324.6922,168.0575,37.8522,0.0025
3.78,325.1125,168.1521,37.8371,0.0025
3.7825,325.533,168.2467,37.8218,0.0025
3.785,325.9537,168.3413,37.8064,0.0025
3.7875,326.3747,168.4358,37.7909,0.0025
3.79,326.7959,168.5302,37.7752,0.0025
3.7925,327.2173,168.6246,37.7593,0.0025
3.795,327.639,168.719,37.7433,0.0025
3.7975,328.0609,168.8133,37.7272,0.0025
3.8,328.4831,168.9076,37.7109,0.0025
3.8025,328.9054,169.0019,37.6945,0.0025
3.805,329.3281,169.0961,37.678,0.0025
3.8075,329.7509,169.1903,37.6613,0.0025
3.81,330.174,169.2844,37.6445,0.0025
3.8125,330.5973,169.3785,37.6276,0.0025
3.815,331.0209,169.4726,37.6105,0.0025
3.8175,331.4447,169.5666,37.5933,0.0025
3.82,331.8687,169.6605,37.5759,0.0025
3.8225,332.293,169.7544,37.5585,0.0025
3.825,332.7175,169.8483,37.5409,0.0025
3.8275,333.1423,169.9422,37.5232,0.0025
3.83,333.5672,170.0359,37.5054,0.0025
3.8325,333.9924,170.1297,37.4875,0.0025
3.835,334.4179,170.2234,37.4695,0.0025
3.8375,334.8435,170.317,37.4514,0.0025
3.84,335.2695,170.4106,37.4332,0.0025
3.8425,335.6956,170.5042,37.4149,0.0025
3.845,336.122,170.5977,37.3966,0.0025
3.8475,336.5486,170.6912,37.3781,0.0025
3.85,336.9754,170.7846,37.3596,0.0025
3.8525,337.4025,170.878,37.3415,0.0025
3.855,337.8298,170.9713,37.3233,0.0025
3.8575,338.2574,171.0646,37.3051,0.0025
3.86,338.6851,171.1578,37.2868,0.0025
3.8625,339.1132,171.251,37.2685,0.0025
3.865,339.5414,171.3442,37.2502,0.0025
3.8675,339.9699,171.4373,37.2318,0.0025
3.87,340.3986,171.5303,37.2134,0.0025
3.8725,340.8275,171.6233,37.195,0.0025
3.875,341.2567,171.7163,37.1765,0.0025
3.8775,341.6861,171.8092,37.1581,0.0025
3.88,342.1158,171.9021,37.1396,0.0025
3.8825,342.5456,171.9949,37.1212,0.0025
3.885,342.9757,172.0877,37.1028,0.0025
3.8875,343.4061,172.1804,37.0843,0.0025
3.89,343.8366,172.2731,37.0659,0.0025
3.8925,344.2674,172.3658,37.0476,0.0025
3.895,344.6985,172.4584,37.0292,0.0025
3.8975,345.1297,172.5509,37.0109,0.0025
3.9,345.5612,172.6434,36.9927,0.0025
3.9025,345.9929,172.7359,36.9738,0.0025
3.905,346.4249,172.8283,36.955,0.0025
3.9075,346.8571,172.9206,36.9362,0.0025
3.91,347.2895,173.013,36.9176,0.0025
3.9125,347.7221,173.1052,36.899,0.0025
3.915,348.155,173.1975,36.8805,0.0025
3.9175,348.5881,173.2896,36.8621,0.0025
3.92,349.0215,173.3818,36.8438,0.0025
3.9225,349.455,173.4739,36.8256,0.0025
3.925,349.8888,173.5659,36.8075,0.0025
3.9275,350.3229,173.6579,36.7896,0.0025
3.93,350.7571,173.7498,36.7718,0.0025
3.9325,351.1916,173.8418,36.7542,0.0025
3.935,351.6263,173.9336,36.7366,0.0025
3.9375,352.0613,174.0254,36.7193,0.0025
3.94,352.4965,174.1172,36.7021,0.0025
3.9425,352.9319,174.2089,36.6851,0.0025
3.945,353.3675,174.3006,36.6682,0.0025
3.9475,353.8034,174.3923,36.6515,0.0025
3.95,354.2395,174.4839,36.635,0.0025
3.9525,354.6758,174.5755,36.6202,0.0025
3.955,355.1123,174.667,36.6057,0.0025
3.9575,355.5491,174.7585,36.5913,0.0025
3.96,355.9861,174.85,36.577,0.0025
3.9625,356.4234,174.9414,36.563,0.0025
3.965,356.8608,175.0328,36.5491,0.0025
3.9675,357.2985,175.1241,36.5353,0.0025
3.97,357.7365,175.2154,36.5217,0.0025
3.9725,358.1746,175.3067,36.5083,0.0025
3.975,358.613,175.398,36.495,0.0025
3.9775,359.0516,175.4892,36.4818,0.0025
3.98,359.4904,175.5804,36.4687,0.0025
3.9825,359.9295,175.6716,36.4558,0.0025
3.985,360.3688,175.7627,36.443,0.0025
3.9875,360.8083,175.8538,36.4303,0.0025
3.99,361.2481,175.9448,36.4177,0.0025
3.9925,361.688,176.0359,36.4051,0.0025
3.995,362.1283,176.1269,36.3927,0.0025
3.9975,362.5687,176.2178,36.3804,0.0025
4,363.0093,176.3088,36.3681,0.0025
4.0025,363.4502,176.3997,36.3543,0.0025
4.005,363.8913,176.4905,36.3405,0.0025
4.0075,364.3327,176.5814,36.3268,0.0025
4.01,364.7742,176.6722,36.3132,0.0025
4.0125,365.216,176.7629,36.2996,0.0025
4.015,365.6581,176.8537,36.2861,0.0025
4.0175,366.1003,176.9444,36.2726,0.0025
4.02,366.5428,177.035,36.2592,0.0025
4.0225,366.9855,177.1257,36.2459,0.0025
4.025,367.4284,177.2163,36.2325,0.0025
4.0275,367.8716,177.3068,36.2192,0.0025
4.03,368.3149,177.3973,36.206,0.0025
4.0325,368.7586,177.4878,36.1927,0.0025
4.035,369.2024,177.5783,36.1795,0.0025
4.0375,369.6464,177.6687,36.1663,0.0025
4.04,370.0907,177.7591,36.1531,0.0025
4.0425,370.5352,177.8495,36.1399,0.0025
4.045,370.98,177.9398,36.1268,0.0025
4.0475,371.4249,178.0301,36.1136,0.0025
4.05,371.8701,178.1204,36.1004,0.0025
4.0525,372.3155,178.2106,36.0888,0.0025
4.055,372.7612,178.3009,36.0771,0.0025
4.0575,373.207,178.391,36.0654,0.0025
4.06,373.6531,178.4812,36.0537,0.0025
4.0625,374.0994,178.5713,36.0419,0.0025
4.065,374.546,178.6614,36.03,0.0025
4.0675,374.9928,178.7515,36.0181,0.0025
4.07,375.4397,178.8415,36.0061,0.0025
4.0725,375.887,178.9315,35.994,0.0025
4.075,376.3344,179.0215,35.9818,0.0025
4.0775,376.7821,179.1114,35.9696,0.0025
4.08,377.23,179.2013,35.9572,0.0025
4.0825,377.6781,179.2912,35.9447,0.0025
4.085,378.1264,179.381,35.9321,0.0025
4.0875,378.575,179.4708,35.9194,0.0025
4.09,379.0238,179.5606,35.9065,0.0025
4.0925,379.4728,179.6504,35.8935,0.0025
4.095,379.922,179.7401,35.8804,0.0025
4.0975,380.3715,179.8298,35.8671,0.0025
4.1,380.8212,179.9194,35.8537,0.0025
4.1025,381.2711,180.009,35.8393,0.0025
4.105,381.7212,180.0986,35.8247,0.0025
4.1075,382.1716,180.1882,35.81,0.0025
4.11,382.6222,180.2777,35.7951,0.0025
4.1125,383.073,180.3671,35.7801,0.0025
4.115,383.524,180.4566,35.7649,0.0025
4.1175,383.9752,180.546,35.7496,0.0025
4.12,384.4267,180.6353,35.7341,0.0025
4.1225,384.8784,180.7246,35.7185,0.0025
4.125,385.3303,180.8139,35.7027,0.0025
4.1275,385.7825,180.9031,35.6868,0.0025
4.13,386.2349,180.9923,35.6707,0.0025
4.1325,386.6875,181.0815,35.6544,0.0025
4.135,387.1403,181.1706,35.638,0.0025
4.1375,387.5933,181.2597,35.6215,0.0025
4.14,388.0466,181.3487,35.6047,0.0025
4.1425,388.5001,181.4377,35.5879,0.0025
4.145,388.9538,181.5267,35.5709,0.0025
4.1475,389.4077,181.6156,35.5538,0.0025
4.15,389.8618,181.7044,35.5365,0.0025
4.1525,390.3162,181.7932,35.5189,0.0025
4.155,390.7708,181.882,35.5011,0.0025
4.1575,391.2256,181.9708,35.4831,0.0025
4.16,391.6807,182.0594,35.4651,0.0025
4.1625,392.1359,182.1481,35.4469,0.0025
4.165,392.5914,182.2367,35.4285,0.0025
4.1675,393.0471,182.3252,35.4101,0.0025
4.17,393.503,182.4137,35.3915,0.0025
4.1725,393.9592,182.5022,35.3729,0.0025
4.175,394.4155,182.5906,35.3541,0.0025
4.1775,394.8721,182.679,35.3352,0.0025
4.18,395.3289,182.7673,35.3162,0.0025
4.1825,395.786,182.8555,35.2971,0.0025
4.185,396.2432,182.9438,35.278,0.0025
4.1875,396.7007,183.0319,35.2587,0.0025
4.19,397.1584,183.12,35.2394,0.0025
4.1925,397.6163,183.2081,35.2201,0.0025
4.195,398.0744,183.2961,35.2007,0.0025
4.1975,398.5328,183.3841,35.1812,0.0025
4.2,398.9913,183.4721,35.1617,0.0025
4.2025,399.4501,183.5599,35.1418,0.0025
4.205,399.9091,183.6478,35.1219,0.0025
4.2075,400.3684,183.7355,35.102,0.0025
4.21,400.8278,183.8233,35.0821,0.0025
4.2125,401.2875,183.9109,35.0621,0.0025
4.215,401.7474,183.9986,35.0422,0.0025
4.2175,402.2075,184.0862,35.0223,0.0025
4.22,402.6678,184.1737,35.0024,0.0025
4.2225,403.1283,184.2612,34.9825,0.0025
4.225,403.5891,184.3486,34.9627,0.0025
4.2275,404.0501,184.436,34.9429,0.0025
4.23,404.5113,184.5233,34.9232,0.0025
4.2325,404.9727,184.6106,34.9036,0.0025
4.235,405.4343,184.6978,34.884,0.0025
4.2375,405.8962,184.785,34.8646,0.0025
4.24,406.3583,184.8722,34.8452,0.0025
4.2425,406.8205,184.9592,34.8259,0.0025
4.245,407.283,185.0463,34.8068,0.0025
4.2475,407.7458,185.1333,34.7878,0.0025
4.25,408.2087,185.2202,34.7689,0.0025
4.2525,408.6719,185.3071,34.75,0.0025
4.255,409.1352,185.394,34.7313,0.0025
4.2575,409.5988,185.4808,34.7128,0.0025
4.26,410.0627,185.5675,34.6944,0.0025
4.2625,410.5267,185.6543,34.6762,0.0025
4.265,410.9909,185.7409,34.6581,0.0025
4.2675,411.4554,185.8275,34.6402,0.0025
4.27,411.9201,185.9141,34.6224,0.0025
4.2725,412.385,186.0007,34.6048,0.0025
4.275,412.8501,186.0871,34.5875,0.0025
4.2775,413.3154,186.1736,34.5703,0.0025
4.28,413.7809,186.26,34.5533,0.0025
4.2825,414.2467,186.3464,34.5364,0.0025
4.285,414.7127,186.4327,34.5198,0.0025
4.2875,415.1789,186.519,34.5034,0.0025
4.29,415.6453,186.6052,34.4872,0.0025
4.2925,416.1119,186.6914,34.4712,0.0025
4.295,416.5787,186.7776,34.4553,0.0025
4.2975,417.0458,186.8637,34.4397,0.0025
4.3,417.513,186.9498,34.4243,0.0025
4.3025,417.9805,187.0358,34.4098,0.0025
4.305,418.4482,187.1218,34.3955,0.0025
4.3075,418.9161,187.2078,34.3814,0.0025
4.31,419.3843,187.2937,34.3674,0.0025
4.3125,419.8526,187.3796,34.3536,0.0025
4.315,420.3212,187.4655,34.34,0.0025
4.3175,420.7899,187.5513,34.3265,0.0025
4.32,421.2589,187.6371,34.3132,0.0025
4.3225,421.7281,187.7229,34.2999,0.0025
4.325,422.1975,187.8086,34.2868,0.0025
4.3275,422.6672,187.8943,34.2739,0.0025
4.33,423.137,187.98,34.261,0.0025
4.3325,423.6071,188.0656,34.2482,0.0025
4.335,424.0773,188.1512,34.2355,0.0025
4.3375,424.5478,188.2368,34.2228,0.0025
4.34,425.0185,188.3223,34.2102,0.0025
4.3425,425.4894,188.4078,34.1977,0.0025
4.345,425.9605,188.4933,34.1852,0.0025
4.3475,426.4319,188.5788,34.1728,0.0025
4.35,426.9034,188.6642,34.1604,0.0025
4.3525,427.3752,188.7496,34.148,0.0025
4.355,427.8472,188.8349,34.1357,0.0025
4.3575,428.3194,188.9203,34.1234,0.0025
4.36,428.7918,189.0055,34.1111,0.0025
4.3625,429.2644,189.0908,34.0987,0.0025
4.365,429.7372,189.176,34.0863,0.0025
4.3675,430.2103,189.2612,34.0739,0.0025
4.37,430.6835,189.3464,34.0614,0.0025
4.3725,431.157,189.4315,34.0489,0.0025
4.375,431.6307,189.5167,34.0363,0.0025
4.3775,432.1046,189.6017,34.0236,0.0025
4.38,432.5787,189.6868,34.0108,0.0025
4.3825,433.053,189.7718,33.9979,0.0025
4.385,433.5276,189.8568,33.985,0.0025
4.3875,434.0023,189.9417,33.9719,0.0025
4.39,434.4773,190.0266,33.9587,0.0025
4.3925,434.9525,190.1115,33.9454,0.0025
4.395,435.4278,190.1963,33.9319,0.0025
4.3975,435.9034,190.2812,33.9184,0.0025
4.4,436.3792,190.3659,33.9047,0.0025
4.4025,436.8553,190.4507,33.891,0.0025
4.405,437.3315,190.5354,33.8772,0.0025
4.4075,437.8079,190.6201,33.8633,0.0025
4.41,438.2846,190.7047,33.8492,0.0025
4.4125,438.7615,190.7893,33.8349,0.0025
4.415,439.2385,190.8739,33.8204,0.0025
4.4175,439.7158,190.9584,33.8058,0.0025
4.42,440.1933,191.0429,33.791,0.0025
4.4225,440.6711,191.1274,33.776,0.0025
4.425,441.149,191.2118,33.7609,0.0025
4.4275,441.6271,191.2962,33.7455,0.0025
4.43,442.1055,191.3805,33.73,0.0025
4.4325,442.584,191.4648,33.7142,0.0025
4.435,443.0628,191.5491,33.6983,0.0025
4.4375,443.5418,191.6333,33.6822,0.0025
4.44,444.0209,191.7175,33.6658,0.0025
4.4425,444.5003,191.8016,33.6493,0.0025
4.445,444.98,191.8857,33.6326,0.0025
4.4475,445.4598,191.9698,33.6157,0.0025
4.45,445.9398,192.0538,33.5986,0.0025
4.4525,446.42,192.1378,33.5799,0.0025
4.455,446.9005,192.2217,33.5609,0.0025
4.4575,447.3812,192.3056,33.5418,0.0025
4.46,447.862,192.3894,33.5225,0.0025
4.4625,448.3431,192.4732,33.503,0.0025
4.465,448.8244,192.5569,33.4833,0.0025
4.4675,449.3059,192.6406,33.4635,0.0025
4.47,449.7876,192.7243,33.4436,0.0025
4.4725,450.2695,192.8079,33.4235,0.0025
4.475,450.7516,192.8914,33.4032,0.0025
4.4775,451.234,192.9749,33.3829,0.0025
4.48,451.7165,193.0583,33.3624,0.0025
4.4825,452.1993,193.1417,33.3418,0.0025
4.485,452.6822,193.225,33.3211,0.0025
4.4875,453.1654,193.3083,33.3003,0.0025
4.49,453.6488,193.3915,33.2794,0.0025
4.4925,454.1323,193.4747,33.2585,0.0025
4.495,454.6161,193.5578,33.2375,0.0025
4.4975,455.1001,193.6409,33.2164,0.0025
4.5,455.5843,193.7239,33.1953,0.0025
4.5025,456.0687,193.8068,33.1755,0.0025
4.505,456.5534,193.8898,33.1557,0.0025
4.5075,457.0382,193.9726,33.1359,0.0025
4.51,457.5232,194.0554,33.1161,0.0025
4.5125,458.0085,194.1382,33.0963,0.0025
4.515,458.4939,194.2209,33.0765,0.0025
4.5175,458.9796,194.3036,33.0567,0.0025
4.52,459.4654,194.3862,33.0369,0.0025
4.5225,459.9515,194.4688,33.0172,0.0025
4.525,460.4378,194.5513,32.9975,0.0025
4.5275,460.9243,194.6338,32.9778,0.0025
4.53,461.4109,194.7162,32.9581,0.0025
4.5325,461.8978,194.7986,32.9386,0.0025
4.535,462.3849,194.8809,32.9191,0.0025
4.5375,462.8722,194.9631,32.8996,0.0025
4.54,463.3598,195.0454,32.8802,0.0025
4.5425,463.8475,195.1275,32.861,0.0025
4.545,464.3354,195.2097,32.8418,0.0025
4.5475,464.8235,195.2918,32.8226,0.0025
4.55,465.3119,195.3738,32.8036,0.0025
4.5525,465.8004,195.4558,32.7841,0.0025
4.555,466.2891,195.5377,32.7647,0.0025
4.5575,466.7781,195.6196,32.7454,0.0025
4.56,467.2672,195.7014,32.7263,0.0025
4.5625,467.7566,195.7832,32.7072,0.0025
4.565,468.2461,195.865,32.6883,0.0025
4.5675,468.7359,195.9467,32.6696,0.0025
4.57,469.2259,196.0283,32.651,0.0025
4.5725,469.7161,196.1099,32.6325,0.0025
4.575,470.2064,196.1915,32.6143,0.0025
4.5775,470.697,196.273,32.5961,0.0025
4.58,471.1878,196.3545,32.5782,0.0025
4.5825,471.6788,196.4359,32.5604,0.0025
4.585,472.17,196.5173,32.5428,0.0025
4.5875,472.6614,196.5986,32.5253,0.0025
4.59,473.153,196.6799,32.5081,0.0025
4.5925,473.6448,196.7611,32.491,0.0025
4.595,474.1368,196.8423,32.4741,0.0025
4.5975,474.629,196.9235,32.4573,0.0025
4.6,475.1214,197.0046,32.4408,0.0025
4.6025,475.614,197.0857,32.4241,0.0025
4.605,476.1068,197.1668,32.4077,0.0025
4.6075,476.5998,197.2478,32.3914,0.0025
4.61,477.0931,197.3287,32.3753,0.0025
4.6125,477.5865,197.4096,32.3594,0.0025
4.615,478.0801,197.4905,32.3436,0.0025
4.6175,478.5739,197.5714,32.328,0.0025
4.62,479.068,197.6522,32.3126,0.0025
4.6225,479.5622,197.7329,32.2973,0.0025
4.625,480.0566,197.8136,32.2821,0.0025
4.6275,480.5513,197.8943,32.2671,0.0025
4.63,481.0461,197.975,32.2522,0.0025
4.6325,481.5411,198.0556,32.2374,0.0025
4.635,482.0364,198.1362,32.2228,0.0025
4.6375,482.5318,198.2167,32.2083,0.0025
4.64,483.0275,198.2972,32.1939,0.0025
4.6425,483.5233,198.3777,32.1796,0.0025
4.645,484.0193,198.4581,32.1654,0.0025
4.6475,484.5156,198.5385,32.1512,0.0025
4.65,485.012,198.6189,32.1372,0.0025
4.6525,485.5087,198.6992,32.1232,0.0025
4.655,486.0055,198.7795,32.1092,0.0025
4.6575,486.5026,198.8597,32.0953,0.0025
4.66,486.9998,198.9399,32.0815,0.0025
4.6625,487.4973,199.0201,32.0677,0.0025
4.665,487.9949,199.1003,32.0539,0.0025
4.6675,488.4928,199.1804,32.0401,0.0025
4.67,488.9908,199.2605,32.0263,0.0025
4.6725,489.4891,199.3405,32.0126,0.0025
4.675,489.9875,199.4206,31.9988,0.0025
4.6775,490.4862,199.5005,31.985,0.0025
4.68,490.985,199.5805,31.9712,0.0025
4.6825,491.4841,199.6604,31.9574,0.0025
4.685,491.9833,199.7403,31.9435,0.0025
4.6875,492.4828,199.8201,31.9296,0.0025
4.69,492.9824,199.8999,31.9157,0.0025
4.6925,493.4823,199.9797,31.9016,0.0025
4.695,493.9823,200.0594,31.8875,0.0025
4.6975,494.4826,200.1391,31.8734,0.0025
4.7,494.983,200.2188,31.8591,0.0025
4.7025,495.4837,200.2984,31.8451,0.0025
4.705,495.9845,200.378,31.831,0.0025
4.7075,496.4856,200.4576,31.8168,0.0025
4.71,496.9868,200.5371,31.8025,0.0025
4.7125,497.4883,200.6166,31.788,0.0025
4.715,497.9899,200.696,31.7735,0.0025
4.7175,498.4917,200.7755,31.7588,0.0025
4.72,498.9938,200.8548,31.744,0.0025
4.7225,499.496,200.9342,31.729,0.0025
4.725,499.9984,201.0135,31.7139,0.0025
4.7275,500.5011,201.0927,31.6986,0.0025
4.73,501.0039,201.172,31.6831,0.0025
4.7325,501.5069,201.2512,31.6675,0.0025
4.735,502.0102,201.3303,31.6518,0.0025
4.7375,502.5136,201.4094,31.6358,0.0025
4.74,503.0172,201.4885,31.6198,0.0025
4.7425,503.521,201.5675,31.6035,0.0025
4.745,504.0251,201.6465,31.5871,0.0025
4.7475,504.5293,201.7254,31.5705,0.0025
4.75,505.0337,201.8044,31.5537,0.0025
4.7525,505.5383,201.8832,31.5373,0.0025
4.755,506.0431,201.962,31.5208,0.0025
4.7575,506.5481,202.0408,31.504,0.0025
4.76,507.0533,202.1196,31.4871,0.0025
4.7625,507.5587,202.1983,31.47,0.0025
4.765,508.0643,202.2769,31.4527,0.0025
4.7675,508.5701,202.3555,31.4352,0.0025
4.77,509.0761,202.4341,31.4175,0.0025
4.7725,509.5823,202.5126,31.3996,0.0025
4.775,510.0886,202.5911,31.3815,0.0025
4.7775,510.5952,202.6695,31.3633,0.0025
4.78,511.102,202.7479,31.3449,0.0025
4.7825,511.6089,202.8262,31.3263,0.0025
4.785,512.1161,202.9045,31.3076,0.0025
4.7875,512.6235,202.9828,31.2887,0.0025
4.79,513.131,203.061,31.2696,0.0025
4.7925,513.6388,203.1391,31.2504,0.0025
4.795,514.1467,203.2172,31.231,0.0025
4.7975,514.6549,203.2953,31.2115,0.0025
4.8,515.1632,203.3733,31.1919,0.0025
4.8025,515.6717,203.4512,31.1721,0.0025
4.805,516.1805,203.5291,31.1523,0.0025
4.8075,516.6894,203.607,31.1323,0.0025
4.81,517.1985,203.6848,31.1122,0.0025
4.8125,517.7078,203.7626,31.092,0.0025
4.815,518.2173,203.8403,31.0716,0.0025
4.8175,518.727,203.9179,31.0512,0.0025
4.82,519.2369,203.9955,31.0307,0.0025
4.8225,519.747,204.0731,31.0101,0.0025
4.825,520.2573,204.1506,30.9894,0.0025
4.8275,520.7677,204.228,30.9686,0.0025
4.83,521.2784,204.3054,30.9478,0.0025
4.8325,521.7893,204.3828,30.927,0.0025
4.835,522.3003,204.46,30.906,0.0025
4.8375,522.8116,204.5373,30.8851,0.0025
4.84,523.323,204.6145,30.8641,0.0025
4.8425,523.8346,204.6916,30.8431,0.0025
4.845,524.3465,204.7687,30.8221,0.0025
4.8475,524.8585,204.8457,30.8011,0.0025
4.85,525.3707,204.9227,30.7801,0.0025
4.8525,525.8831,204.9996,30.7589,0.0025
4.855,526.3957,205.0765,30.7377,0.0025
4.8575,526.9085,205.1533,30.7165,0.0025
4.86,527.4214,205.2301,30.6954,0.0025
4.8625,527.9346,205.3068,30.6743,0.0025
4.865,528.448,205.3834,30.6533,0.0025
4.8675,528.9615,205.4601,30.6324,0.0025
4.87,529.4753,205.5366,30.6115,0.0025
4.8725,529.9892,205.6131,30.5908,0.0025
4.875,530.5033,205.6896,30.5702,0.0025
4.8775,531.0177,205.766,30.5497,0.0025
4.88,531.5322,205.8423,30.5293,0.0025
4.8825,532.0469,205.9186,30.509,0.0025
4.885,532.5618,205.9949,30.4889,0.0025
4.8875,533.0769,206.0711,30.469,0.0025
4.89,533.5921,206.1472,30.4492,0.0025
4.8925,534.1076,206.2233,30.4295,0.0025
4.895,534.6232,206.2993,30.41,0.0025
4.8975,535.1391,206.3753,30.3908,0.0025
4.9,535.6551,206.4513,30.3716,0.0025
4.9025,536.1713,206.5272,30.3514,0.0025
4.905,536.6878,206.6031,30.3314,0.0025
4.9075,537.2044,206.6789,30.3115,0.0025
4.91,537.7211,206.7546,30.2919,0.0025
4.9125,538.2381,206.8303,30.2725,0.0025
4.915,538.7553,206.906,30.2533,0.0025
4.9175,539.2727,206.9816,30.2343,0.0025
4.92,539.7902,207.0572,30.2156,0.0025
4.9225,540.3079,207.1327,30.1971,0.0025
4.925,540.8259,207.2081,30.1789,0.0025
4.9275,541.344,207.2836,30.1609,0.0025
4.93,541.8623,207.3589,30.1431,0.0025
4.9325,542.3808,207.4343,30.1256,0.0025
4.935,542.8995,207.5096,30.1083,0.0025
4.9375,543.4183,207.5848,30.0913,0.0025
4.94,543.9374,207.66,30.0745,0.0025
4.9425,544.4566,207.7352,30.058,0.0025
4.945,544.9761,207.8103,30.0417,0.0025
4.9475,545.4957,207.8854,30.0256,0.0025
4.95,546.0155,207.9604,30.0098,0.0025
4.9525,546.5355,208.0355,29.9956,0.0025
4.955,547.0557,208.1104,29.9815,0.0025
4.9575,547.576,208.1854,29.9677,0.0025
4.96,548.0966,208.2603,29.954,0.0025
4.9625,548.6173,208.3351,29.9405,0.0025
4.965,549.1383,208.41,29.9271,0.0025
4.9675,549.6594,208.4848,29.9139,0.0025
4.97,550.1807,208.5595,29.9008,0.0025
4.9725,550.7022,208.6343,29.8878,0.0025
4.975,551.2239,208.709,29.8748,0.0025
4.9775,551.7457,208.7836,29.8619,0.0025
4.98,552.2678,208.8583,29.8491,0.0025
4.9825,552.79,208.9329,29.8364,0.0025
4.985,553.3124,209.0075,29.8236,0.0025
4.9875,553.8351,209.082,29.8109,0.0025
4.99,554.3579,209.1565,29.7981,0.0025
4.9925,554.8808,209.231,29.7853,0.0025
4.995,555.404,209.3054,29.7725,0.0025
4.9975,555.9274,209.3799,29.7597,0.0025
5,556.4509,209.4542,29.7468,0.0025
5.0025,556.9746,209.5286,29.7332,0.0025
5.005,557.4986,209.6029,29.7195,0.0025
5.0075,558.0227,209.6772,29.7057,0.0025
5.01,558.5469,209.7514,29.6918,0.0025
5.0125,559.0714,209.8256,29.6778,0.0025
5.015,559.5961,209.8998,29.6637,0.0025
5.0175,560.1209,209.974,29.6495,0.0025
5.02,560.6459,210.0481,29.6352,0.0025
5.0225,561.1711,210.1221,29.6207,0.0025
5.025,561.6965,210.1962,29.606,0.0025
5.0275,562.2221,210.2702,29.5912,0.0025
5.03,562.7479,210.3441,29.5762,0.0025
5.0325,563.2738,210.4181,29.5611,0.0025
5.035,563.8,210.4919,29.5458,0.0025
5.0375,564.3263,210.5658,29.5303,0.0025
5.04,564.8528,210.6396,29.5146,0.0025
5.0425,565.3795,210.7134,29.4987,0.0025
5.045,565.9064,210.7871,29.4827,0.0025
5.0475,566.4334,210.8608,29.4664,0.0025
5.05,566.9607,210.9344,29.45,0.0025
5.0525,567.4881,211.008,29.4336,0.0025
5.055,568.0157,211.0816,29.417,0.0025
5.0575,568.5435,211.1551,29.4003,0.0025
5.06,569.0715,211.2286,29.3833,0.0025
5.0625,569.5997,211.302,29.3661,0.0025
5.065,570.128,211.3754,29.3487,0.0025
5.0675,570.6565,211.4488,29.331,0.0025
5.07,571.1853,211.5221,29.3132,0.0025
5.0725,571.7142,211.5953,29.2951,0.0025
5.075,572.2432,211.6685,29.2769,0.0025
5.0775,572.7725,211.7417,29.2584,0.0025
5.08,573.3019,211.8148,29.2397,0.0025
5.0825,573.8316,211.8879,29.2208,0.0025
5.085,574.3614,211.9609,29.2018,0.0025
5.0875,574.8914,212.0339,29.1825,0.0025
5.09,575.4216,212.1069,29.163,0.0025
5.0925,575.9519,212.1797,29.1434,0.0025
5.095,576.4824,212.2526,29.1235,0.0025
5.0975,577.0132,212.3254,29.1035,0.0025
5.1,577.5441,212.3981,29.0833,0.0025
5.1025,578.0752,212.4708,29.0629,0.0025
5.105,578.6064,212.5434,29.0423,0.0025
5.1075,579.1379,212.616,29.0215,0.0025
5.11,579.6695,212.6885,29.0007,0.0025
5.1125,580.2013,212.761,28.9796,0.0025
5.115,580.7333,212.8334,28.9585,0.0025
5.1175,581.2655,212.9058,28.9373,0.0025
5.12,581.7978,212.9781,28.9159,0.0025
